location,other_location_details,size,bedrooms,bathrooms,price,property_type,purchase_type,source,beds,baths,toilets
Juja farm road,"Juja kalimoni, Juja",2400.0,4.0,4.0,8000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Matangi,"Ruiru matangi, Kamakis, Ruiru",2400.0,3.0,4.0,7300000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Garden Estate,Roysambu,2400.0,5.0,6.0,70000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitisuru,Westlands,2400.0,5.0,6.0,120000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kamakis behind greenspot,"Greenspot road, Kamakis, Ruiru",2400.0,4.0,4.0,16000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Greenspot road,"Kamakis, Ruiru",2400.0,7.0,8.0,19000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kileleshwa,Kileleshwa,2400.0,5.0,7.0,45000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ushirika road,Karen,2400.0,4.0,4.0,130000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Langata,Langata,2400.0,4.0,5.0,40000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kiserian,Kiserian,2400.0,3.0,3.0,6300000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitengela,Kitengela,2400.0,4.0,5.0,17000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Runda,Westlands,2400.0,6.0,6.0,300000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitengela,Kitengela,2400.0,3.0,4.0,7500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Runda,Westlands,2400.0,4.0,4.0,54000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Runda,Westlands,2400.0,5.0,5.0,75000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Westlands Area,Westlands,2400.0,3.0,4.0,49500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Runda,Westlands,2400.0,6.0,7.0,158000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitengela,Kitengela,2400.0,3.0,2.0,6800000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kiambu Road,Kiambu Road,2400.0,4.0,5.0,26000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,4.0,2.0,65000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,4.0,4.0,50000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,3.0,3.0,26000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,4.0,4.0,6713000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Westlands Area,Westlands,2400.0,4.0,4.0,58500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Brookside,Westlands,2400.0,4.0,4.0,50000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitisuru,Westlands,2400.0,5.0,7.0,48000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Westlands Area,Westlands,2400.0,5.0,5.0,40000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Rhapta Road,Westlands,2400.0,5.0,2.0,42000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Rhapta Road,Westlands,2400.0,4.0,2.0,38000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Rhapta Road,Westlands,2400.0,4.0,2.0,35000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Westlands Area,Westlands,2400.0,4.0,4.0,35000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Waiyaki Way,Westlands,2400.0,4.0,3.0,35000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitisuru,Westlands,2400.0,5.0,2.0,6713000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Runda,Westlands,2400.0,4.0,4.0,65000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Runda,Westlands,2400.0,7.0,7.0,70000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Runda,Westlands,2400.0,4.0,5.0,70000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen,Karen,2400.0,5.0,5.0,108000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ngong,Ngong,2400.0,4.0,2.0,65000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen,Karen,2400.0,4.0,5.0,80000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kilifi,Kilifi,2400.0,10.0,10.0,130000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen,Karen,2400.0,5.0,5.0,135000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
two rivers,"Gigiri, Westlands",2400.0,4.0,4.0,45000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Athi River,Athi River,2400.0,3.0,3.0,12900000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
KIAMBU ROAD,Kiambu Road,2400.0,3.0,4.0,35000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kilimani,Kilimani,2400.0,3.0,3.0,30000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Athi River,Athi River,2400.0,4.0,4.0,15500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kileleshwa,Kileleshwa,2400.0,5.0,4.0,89000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
89,Lavington,2400.0,5.0,6.0,65000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen,Karen,2400.0,4.0,5.0,75000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Nyali Area,Nyali,2400.0,4.0,4.0,25000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
0716J,Kiambu Road,3600.0,4.0,4.0,32000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
0716j,"Parklands Estate, Parklands, Westlands",1199.0,2.0,2.0,13000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington shopping centre,Lavington,2400.0,4.0,4.0,75000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,5.0,5.0,78000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Loresho,"Westlands Area, Westlands",2400.0,5.0,5.0,150000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kiambu Road,Kiambu Road,2400.0,4.0,5.0,32500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Athi River,Athi River,2400.0,4.0,4.0,17000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kiambu Road,Kiambu Road,2400.0,5.0,5.0,35000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
ruiru,"Kamakis, Ruiru",2400.0,3.0,4.0,9500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Sunset estate,"Juja South, Juja",2400.0,4.0,5.0,22000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
ruiru,"Kamakis, Ruiru",2400.0,6.0,6.0,18000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Nyali Area,Nyali,2400.0,4.0,5.0,34000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kiserian,Kiserian,2400.0,3.0,3.0,7500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,5.0,6.0,90000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Spring Valley,Westlands,2400.0,4.0,5.0,87000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kiambu Road,Kiambu Road,2400.0,4.0,3.0,32000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Westlands Area,Westlands,2400.0,3.0,3.0,50000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen,Karen,2400.0,5.0,6.0,80000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen,Karen,2400.0,6.0,7.0,95000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,5.0,7.0,60000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
